"voltage","millis"
"24","1460919383615"
"13","1460919384123"
"71","1460919384629"
"13","1460919385131"
"85","1460919385634"
"90","1460919386138"
"34","1460919386641"
"69","1460919387144"
"72","1460919387647"
"83","1460919388150"
"5","1460919388653"
"60","1460919389156"
"78","1460919389659"
"51","1460919390162"
"48","1460919390664"
"12","1460919391169"
"3","1460919391672"
"66","1460919392175"
"74","1460919392677"
"60","1460919393180"
"95","1460919393683"
"78","1460919394187"
"41","1460919394690"
"50","1460919395193"
"65","1460919395696"
"63","1460919396200"
"37","1460919396703"
"10","1460919397206"
"41","1460919397709"
"49","1460919398216"
